[25/04/2019 17:01:44] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT auth_user.idUser,auth_user.login,auth_user.pwd,auth_user.passMD5,auth_user.theme,auth_user.config,auth_user.active,auth_user.status,auth_user.name,auth_user.email,auth_user.nick,auth_user.auth0IdUser,auth_user.auth0CreatedAt,DATE_FORMAT(auth_user.lastLogin,'%e/%m/%Y%T') AS lastLogin,auth_user.idPerson FROM auth_user WHERE (auth_user.idUser = ?)[(string) 61]"
[25/04/2019 17:01:45] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT language.idLanguage,language.language FROM language"
[25/04/2019 17:08:08] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT auth_user.idUser,auth_user.login,auth_user.pwd,auth_user.passMD5,auth_user.theme,auth_user.config,auth_user.active,auth_user.status,auth_user.name,auth_user.email,auth_user.nick,auth_user.auth0IdUser,auth_user.auth0CreatedAt,DATE_FORMAT(auth_user.lastLogin,'%e/%m/%Y%T') AS lastLogin,auth_user.idPerson FROM auth_user WHERE (auth_user.idUser = ?)[(string) 61]"
[25/04/2019 17:08:08] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT language.idLanguage,language.language FROM language"
[25/04/2019 17:08:08] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT count(*) as CNT FROM (SELECT domain.idDomain,entry.name as name FROM (domain INNER JOIN entry ON (domain.entry=entry.entry)) WHERE (entry.idLanguage = 1 ) ORDER BY entry.name) countQuery"
[25/04/2019 17:08:08] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT count(*) as CNT FROM (SELECT domain.idDomain,entry.name as name FROM (domain INNER JOIN entry ON (domain.entry=entry.entry)) WHERE (entry.idLanguage = 1 ) ORDER BY entry.name) countQuery"
[25/04/2019 17:08:08] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT domain.idDomain,entry.name as name FROM (domain INNER JOIN entry ON (domain.entry=entry.entry)) WHERE (entry.idLanguage = 1 ) ORDER BY entry.name"
[25/04/2019 17:08:54] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT auth_user.idUser,auth_user.login,auth_user.pwd,auth_user.passMD5,auth_user.theme,auth_user.config,auth_user.active,auth_user.status,auth_user.name,auth_user.email,auth_user.nick,auth_user.auth0IdUser,auth_user.auth0CreatedAt,DATE_FORMAT(auth_user.lastLogin,'%e/%m/%Y%T') AS lastLogin,auth_user.idPerson FROM auth_user WHERE (auth_user.idUser = ?)[(string) 61]"
[25/04/2019 17:08:54] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT language.idLanguage,language.language FROM language"
[25/04/2019 17:08:54] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT count(*) as CNT FROM (SELECT domain.idDomain,entry.name as name FROM (domain INNER JOIN entry ON (domain.entry=entry.entry)) WHERE (entry.idLanguage = 1 ) ORDER BY entry.name) countQuery"
[25/04/2019 17:08:54] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT count(*) as CNT FROM (SELECT domain.idDomain,entry.name as name FROM (domain INNER JOIN entry ON (domain.entry=entry.entry)) WHERE (entry.idLanguage = 1 ) ORDER BY entry.name) countQuery"
[25/04/2019 17:08:54] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT domain.idDomain,entry.name as name FROM (domain INNER JOIN entry ON (domain.entry=entry.entry)) WHERE (entry.idLanguage = 1 ) ORDER BY entry.name"
[25/04/2019 17:09:06] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT auth_user.idUser,auth_user.login,auth_user.pwd,auth_user.passMD5,auth_user.theme,auth_user.config,auth_user.active,auth_user.status,auth_user.name,auth_user.email,auth_user.nick,auth_user.auth0IdUser,auth_user.auth0CreatedAt,DATE_FORMAT(auth_user.lastLogin,'%e/%m/%Y%T') AS lastLogin,auth_user.idPerson FROM auth_user WHERE (auth_user.idUser = ?)[(string) 61]"
[25/04/2019 17:09:06] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT language.idLanguage,language.language FROM language"
[25/04/2019 17:10:44] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT auth_user.idUser,auth_user.login,auth_user.pwd,auth_user.passMD5,auth_user.theme,auth_user.config,auth_user.active,auth_user.status,auth_user.name,auth_user.email,auth_user.nick,auth_user.auth0IdUser,auth_user.auth0CreatedAt,DATE_FORMAT(auth_user.lastLogin,'%e/%m/%Y%T') AS lastLogin,auth_user.idPerson FROM auth_user WHERE (auth_user.idUser = ?)[(string) 61]"
[25/04/2019 17:10:44] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT language.idLanguage,language.language FROM language"
[25/04/2019 17:11:41] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT auth_user.idUser,auth_user.login,auth_user.pwd,auth_user.passMD5,auth_user.theme,auth_user.config,auth_user.active,auth_user.status,auth_user.name,auth_user.email,auth_user.nick,auth_user.auth0IdUser,auth_user.auth0CreatedAt,DATE_FORMAT(auth_user.lastLogin,'%e/%m/%Y%T') AS lastLogin,auth_user.idPerson FROM auth_user WHERE (auth_user.idUser = ?)[(string) 61]"
[25/04/2019 17:11:41] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT language.idLanguage,language.language FROM language"
[25/04/2019 17:11:41] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT language.idLanguage,language.language FROM language"
[25/04/2019 17:11:46] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT auth_user.idUser,auth_user.login,auth_user.pwd,auth_user.passMD5,auth_user.theme,auth_user.config,auth_user.active,auth_user.status,auth_user.name,auth_user.email,auth_user.nick,auth_user.auth0IdUser,auth_user.auth0CreatedAt,DATE_FORMAT(auth_user.lastLogin,'%e/%m/%Y%T') AS lastLogin,auth_user.idPerson FROM auth_user WHERE (auth_user.idUser = ?)[(string) 61]"
[25/04/2019 17:11:46] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT language.idLanguage,language.language FROM language"
[25/04/2019 17:11:46] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT count(*) as CNT FROM (SELECT domain.idDomain,entry.name as name FROM (domain INNER JOIN entry ON (domain.entry=entry.entry)) WHERE (entry.idLanguage = 1 ) ORDER BY entry.name) countQuery"
[25/04/2019 17:11:46] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT count(*) as CNT FROM (SELECT domain.idDomain,entry.name as name FROM (domain INNER JOIN entry ON (domain.entry=entry.entry)) WHERE (entry.idLanguage = 1 ) ORDER BY entry.name) countQuery"
[25/04/2019 17:11:46] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT domain.idDomain,entry.name as name FROM (domain INNER JOIN entry ON (domain.entry=entry.entry)) WHERE (entry.idLanguage = 1 ) ORDER BY entry.name"
[25/04/2019 17:12:39] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT auth_user.idUser,auth_user.login,auth_user.pwd,auth_user.passMD5,auth_user.theme,auth_user.config,auth_user.active,auth_user.status,auth_user.name,auth_user.email,auth_user.nick,auth_user.auth0IdUser,auth_user.auth0CreatedAt,DATE_FORMAT(auth_user.lastLogin,'%e/%m/%Y%T') AS lastLogin,auth_user.idPerson FROM auth_user WHERE (auth_user.idUser = ?)[(string) 61]"
[25/04/2019 17:12:39] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT language.idLanguage,language.language FROM language"
[25/04/2019 17:12:39] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT count(*) as CNT FROM (SELECT domain.idDomain,entry.name as name FROM (domain INNER JOIN entry ON (domain.entry=entry.entry)) WHERE (entry.idLanguage = 1 ) ORDER BY entry.name) countQuery"
[25/04/2019 17:12:39] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT count(*) as CNT FROM (SELECT domain.idDomain,entry.name as name FROM (domain INNER JOIN entry ON (domain.entry=entry.entry)) WHERE (entry.idLanguage = 1 ) ORDER BY entry.name) countQuery"
[25/04/2019 17:12:39] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT domain.idDomain,entry.name as name FROM (domain INNER JOIN entry ON (domain.entry=entry.entry)) WHERE (entry.idLanguage = 1 ) ORDER BY entry.name"
[25/04/2019 17:12:39] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT auth_user.idUser,auth_user.login,auth_user.pwd,auth_user.passMD5,auth_user.theme,auth_user.config,auth_user.active,auth_user.status,auth_user.name,auth_user.email,auth_user.nick,auth_user.auth0IdUser,auth_user.auth0CreatedAt,DATE_FORMAT(auth_user.lastLogin,'%e/%m/%Y%T') AS lastLogin,auth_user.idPerson FROM auth_user WHERE (auth_user.idUser = ?)[(string) 61]"
[25/04/2019 17:12:39] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT language.idLanguage,language.language FROM language"
[25/04/2019 17:12:40] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT substr(view_entrylanguage.name,1,1) initial,view_frame.idFrame,view_frame.entry,view_frame.active,view_frame.idEntity,view_entrylanguage.name as name FROM (view_frame INNER JOIN view_entrylanguage ON (view_frame.entry=view_entrylanguage.entry)) WHERE (view_entrylanguage.idLanguage = 1 ) ORDER BY view_entrylanguage.name"
[25/04/2019 17:14:47] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT auth_user.idUser,auth_user.login,auth_user.pwd,auth_user.passMD5,auth_user.theme,auth_user.config,auth_user.active,auth_user.status,auth_user.name,auth_user.email,auth_user.nick,auth_user.auth0IdUser,auth_user.auth0CreatedAt,DATE_FORMAT(auth_user.lastLogin,'%e/%m/%Y%T') AS lastLogin,auth_user.idPerson FROM auth_user WHERE (auth_user.idUser = ?)[(string) 61]"
[25/04/2019 17:14:47] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT language.idLanguage,language.language FROM language"
[25/04/2019 17:14:47] 200.131.19.163  - webtool - ely.matos@gmail.com : "SELECT substr(view_entrylanguage.name,1,1) initial,view_frame.idFrame,view_frame.entry,view_frame.active,view_frame.idEntity,view_entrylanguage.name as name FROM (view_frame INNER JOIN view_entrylanguage ON (view_frame.entry=view_entrylanguage.entry)) WHERE (view_entrylanguage.idLanguage = 1 ) ORDER BY view_entrylanguage.name"
