We	PRON	PRP	-	-	-	False
considered	VERB	VBD	-	-	-	False
this	DET	DT	-	-	-	False
to	PART	TO	-	-	-	False
be	VERB	VB	-	-	-	False
one	NUM	CD	-	-	-	False
of	ADP	IN	-	-	-	False
the	DET	DT	-	-	-	False
lead	ADJ	JJ	-	-	Type	True
parts	NOUN	NNS	part.n	Performers_and_roles	-	False
.	PUNCT	.	-	-	-	False

'	PUNCT	''	-	-	-	False
Die	VERB	VB	-	-	-	False
Geburt	PROPN	NNP	-	-	-	False
II	PROPN	NNP	-	-	-	False
'	PUNCT	''	-	-	-	False
James	PROPN	NNP	-	-	-	False
spielte	PROPN	NNP	-	-	-	False
den	PROPN	NNP	-	-	-	False
Joseph	PROPN	NNP	-	-	-	False
,	PUNCT	,	-	-	-	False
worüber	X	FW	-	-	-	False
wir	X	FW	-	-	-	False
begeistert	X	FW	-	-	-	False
waren	X	FW	-	-	-	False
,	PUNCT	,	-	-	-	False
weil	X	NN	-	-	-	False
wir	X	NN	-	-	-	False
das	X	FW	-	-	Role	True
als	X	FW	-	-	-	False
eine	X	FW	-	-	-	False
der	X	FW	-	-	-	False
Hauptrollen	X	FW	Hauptrolle.n	Performers_and_roles	-	False
betrachten	X	FW	-	-	-	False
.	PUNCT	.	-	-	-	False
