Just	ADV	RB	-	-	-	False
the	DET	DT	-	-	-	False
variety	NOUN	NN	variety.n	Diversity	-	False
of	ADP	IN	-	-	Dimension	True
it	PRON	PRP	-	-	Dimension	True
and	CCONJ	CC	-	-	-	False
the	DET	DT	-	-	-	False
range	NOUN	NN	-	-	-	False
of	ADP	IN	-	-	-	False
it	PRON	PRP	-	-	-	False
.	PUNCT	.	-	-	-	False

Eines	INTJ	NNP	-	-	-	False
sind	INTJ	NN	-	-	-	False
die	X	VBP	-	-	-	False
überwältigenden	X	NNP	-	-	-	False
Zeugnisse	PROPN	NNP	-	-	-	False
menschlicher	PROPN	NN	-	-	-	False
Kreativität	PROPN	NNP	-	-	-	False
in	ADP	IN	-	-	-	False
allen	PROPN	NNP	-	-	-	False
Vorträgen	PROPN	NNP	-	-	-	False
,	PUNCT	,	-	-	-	False
die	VERB	VBP	-	-	-	False
wir	X	NN	-	-	-	False
gehört	X	FW	-	-	-	False
haben	X	FW	-	-	-	False
und	X	FW	-	-	-	False
in	ADP	IN	-	-	-	False
allen	PROPN	NN	-	-	-	False
Menschen	PROPN	NNP	-	-	-	False
hier	ADJ	NN	-	-	-	False
--	PUNCT	:	-	-	-	False
allein	X	FW	-	-	-	False
ihre	X	FW	-	-	Group	True
Vielfalt	X	FW	vielfalt.n	Diversity	-	False
und	X	FW	-	-	-	False
ihre	X	FW	-	-	-	False
Bandbreite	PROPN	NNP	-	-	-	False
.	PUNCT	.	-	-	-	False
