It	PRON	PRP	-	-	Entity	True
's	VERB	VBZ	-	-	-	False
thicker	ADJ	JJR	thick.a	Measurable_attributes	-	False
in	ADP	IN	-	-	Circumstances	False
women	NOUN	NNS	-	-	Circumstances	False
.	PUNCT	.	-	-	-	False

O	INTJ	UH	-	-	-	False
cérebro	NOUN	NN	-	-	-	False
é	NOUN	NN	-	-	-	False
intencionalmente	NOUN	NN	-	-	-	False
...	PUNCT	NFP	-	-	-	False
Por	NOUN	IN	-	-	-	False
sinal	ADJ	JJ	-	-	-	False
,	PUNCT	,	-	-	-	False
existe	INTJ	FW	-	-	-	False
um	INTJ	UH	-	-	-	False
feixe	X	FW	-	-	-	False
de	X	FW	-	-	-	False
filamentos	X	FW	-	-	-	False
nervosos	X	FW	-	-	-	False
que	X	FW	-	-	-	False
conecta	X	FW	-	-	-	False
os	X	FW	-	-	-	False
dois	X	FW	-	-	-	False
lados	X	FW	-	-	-	False
do	X	FW	-	-	-	False
cérebro	X	FW	-	-	-	False
chamado	X	FW	-	-	-	False
corpo	X	FW	-	-	-	False
caloso.É	X	FW	-	-	-	False
mais	X	FW	-	-	-	False
espesso	X	FW	espesso.a	Measurable_attributes	-	False
nas	X	FW	-	-	-	False
mulheres	X	FW	-	-	-	False
.	PUNCT	.	-	-	-	False
