En_Id	En_Sentence	El_Id	El_Sentence
1008	Good morning.	3177	Καλημέρα.
1009	How are you?	3178	Πώς είστε;
1010	It's been great, hasn't it?	3179	Ήταν υπέροχα, έτσι δεν είναι;
1011	I've been blown away by the whole thing.	3180	Έχω μείνει άναυδος από το όλο εγχείρημα.
1012	In fact, I'm leaving.	3181	Στην πραγματικότητα φεύγω.
1013	There have been three themes running through the conference which are relevant to what I want to talk about.	3182	Υπήρχαν τρεις θεματολογίες, έτσι δεν είναι, στο όλο συνέδριο, οι οποίες είναι σχετικές με αυτά που θέλω να πω.
1014	One is the extraordinary evidence of human creativity in all of the presentations that we've had and in all of the people here.	3183	Μία από αυτές είναι η εντυπωσιακή απόδειξη της ανθρώπινης δημιουργικότητας σε όλες τις παρουσιάσεις που είχαμε και σε όλους τους ανθρώπους εδώ.
1015	Just the variety of it and the range of it.	3184	Μόνο και μόνο η ποικιλία και το εύρος της.
1016	The second is that it's put us in a place where we have no idea what's going to happen, in terms of the future.	3185	Η δεύτερη είναι ότι μας έβαλε σε μια θέση όπου δεν έχουμε ιδέα για το τι πρόκειται να συμβεί, όσο αφορά το μέλλον.
1017	No idea how this may play out.	3186	Καμία ιδέα για το πώς μπορεί να εξελιχθεί αυτό.
1018	I have an interest in education.	3187	Ενδιαφέρομαιγια την εκπαίδευση- στην πραγματικότητα, βρίσκω ότι όλοι έχουν κάποιο ενδιαφέρον για την εκπαίδευση.
1019	Actually, what I find is everybody has an interest in education.		
1020	Don't you?	3188	Εσείς δεν έχετε;
1021	I find this very interesting.	3189	Το βρίσκω πολύ ενδιαφέρον.
1022	If you're at a dinner party, and you say you work in education -- 	3190	Αν είστε σε ένα πάρτι, και πείτε ότι δουλεύετε στην εκπαίδευση- στην πραγματικότητα, δεν πάτε συχνά σε πάρτι, αν δουλεύετε στην εκπαίδευση.
1023	Actually, you're not often at dinner parties, frankly.		
1024	If you work in education, you're not asked.		
		3191	Δεν σας καλούν.
1025	And you're never asked back, curiously.	3192	Και δεν ανταποδίδουν την πρόσκληση, παραδόξως.
1026	That's strange to me.	3193	Αυτό μου φαίνεται περίεργο.
1027	But if you are, and you say to somebody, you know, they say, 'What do you do?'and you say you work in education, you can see the blood run from their face.	3194	Αλλά εάν είστε σε πάρτι, και πείτε σε κάποιον, ξέρετε, σας ρωτάνε: «Τι δουλειά κάνεις;» και πείτε ότι δουλεύετε στη εκπαίδευση, βλέπετε το αίμα να φεύγει από το πρόσωπό τους.
1028	They're like, 'Oh my God,' you know, 'Why me?'	3195	Σκέφτονται: «Ω Θεέ μου, γιατί σε μένα; 
1029	'My one night out all week.'	3196	Τη μοναδική βραδιά εξόδου μου όλη τη βδομάδα».
1030	But if you ask about their education, they pin you to the wall.	3197	Αλλά αν τους ρωτήσετε για τη δική τους εκπαίδευση, σας καρφώνουν στον τοίχο.
