En_Id	En_Sentence	Se_Id	Se_Sentence
1008	Good morning.	1817	god morgon .
1009	How are you?	1818	hur mår ni ?
1010	It's been great, hasn't it?	1819	detta har varit underbart , visst har det ?
1011	I've been blown away by the whole thing.	1820	jag är som bortblåst av det hela .
1012	In fact, I'm leaving.	1821	i själva verket , är jag borta .
1013	There have been three themes running through the conference which are relevant to what I want to talk about.	1822	( skratt ) det har funnits tre teman , eller hur ?
		1823	den röda tråden genom konferensen , som är relevant för vad jag vill tala om .
1014	One is the extraordinary evidence of human creativity in all of the presentations that we've had and in all of the people here.	1824	ett är de extraordinära bevisen för mänsklig kreativitet .
		1825	i alla presentationerna som vi har haft och alla människor här .
1015	Just the variety of it and the range of it.	1826	bara variationen .
		1827	och bredden .
1016	The second is that it's put us in a place where we have no idea what's going to happen, in terms of the future.	1828	det andra är att det har sätt oss på en plats där vi inte har någon aning om vad som kommer att hända , i framtiden .
1017	No idea how this may play out.	1829	ingen aning hur detta kommer utvecklas .
1018	I have an interest in education.	1830	jag är intresserad av utbildning -- i själva verket , så tycker jag att alla har ett intresse av utbildning .
1019	Actually, what I find is everybody has an interest in education.		
1020	Don't you?	1831	tror inte ni ?
1021	I find this very interesting.	1832	jag tycker detta är väldigt intressant .
1022	If you're at a dinner party, and you say you work in education --	1833	om du är på middag , och säger att du jobbar inom utbildning -- i själva verket så är du inte så ofta på middag , i ärlighetens namn , om du jobbar inom utbildning .
1023	Actually, you're not often at dinner parties, frankly.		
1024	If you work in education, you're not asked.	1834	( skratt ) du blir inte tillfrågad .
1025	And you're never asked back, curiously.	1835	och du frågar inte tillbaka heller , konstigt nog .
1026	That's strange to me.	1836	jag tycker det är konstigt .
1027	But if you are, and you say to somebody, you know, they say, 'What do you do?'and you say you work in education, you can see the blood run from their face.	1837	men om du är , och du säger till någon , vet du att dom säger , ' vad vet du ?'
		1838	och du säger att du jobbar med utbildning , man kan se blodet rusa till deras ansikte .
1028	They're like, 'Oh my God,' you know, 'Why me?'	1839	de är som , ' gode gud .
		1840	varför jag ?
1029	My one night out all week.'	1841	min enda ute kväll på veckan .'
1030	But if you ask about their education, they pin you to the wall.	1842	( skratt ) men om du frågar om deras utbildning , nålar dom upp dig på väggen .
1031	Because it's one of those things that goes deep with people, am I right?	1843	för att det är en av de sakerna som sitter djupt i människor , har jag rätt ?
1032	Like religion, and money and other things.	1844	som religion , och pengar och andra saker .
1033	So I have a big interest in education, and I think we all do.	1845	jag har ett stort intresse för utbildning , och jag tror att vi alla har det .
1034	We have a huge vested interest in it, partly because it's education that's meant to take us into this future that we can't grasp.	1846	vi har ett enormt oantastbart intresse i det , delvis för att det är utbildning som är menat att ta oss in i framtiden som vi inte kan greppa .
1035	If you think of it, children starting school this year will be retiring in 2065.	1847	om du tänker på det , barn som börjar skolan i år kommer pensioneras 2065 .
1036	Nobody has a clue, despite all the expertise that's been on parade for the past four days, what the world will look like in five years' time.	1848	ingen har en aning -- trots all den expertis som har visats upp under de senaste fyra dagarna -- hur kommer världen se ut om fem år .
1037	And yet we're meant to be educating them for it.	1849	och trots det är vi menade att undervisa dem för det .
1038	So the unpredictability, I think, is extraordinary.	1850	så oförutsägbarheten , tror jag , är extraordinär .
1039	And the third part of this is that we've all agreed, nonetheless, on the really extraordinary capacities that children have -- their capacities for innovation.	1851	och den tredje delen i detta är att vi kom alla överens , ändå , om att verkliga extraordinära kapaciteter som barn har -- deras kapaciteter för innovation .
1040	I mean, Sirena last night was a marvel, wasn't she?	1852	jag menar , sirena igår var ett underverk , visst var hon ?
