En_Id	En_Sentence	Pt_Id	Pt_Sentence
1008	Good morning.	737	Bom dia.
1009	How are you?	738	Como estão?
1010	It's been great, hasn't it?	739	Tem sido ótimo, não tem?
1011	I've been blown away by the whole thing.	740	Fiquei maravilhado com a coisa toda.
1012	In fact, I'm leaving.	741	Na verdade, estou indo embora.
1013	There have been three themes running through the conference which are relevant to what I want to talk about.	742	Existem três tópicos abordados ao longo da conferência que são relevantes para o que eu vou falar.
1014	One is the extraordinary evidence of human creativity in all of the presentations that we've had and in all of the people here.	743	O primeiro é a extraordinária evidência da criatividade humana em todas as apresentações que tivemos e em todas as pessoas presentes.
1015	Just the variety of it and the range of it.	744	Sua variedade e multiplicidade.
1016	The second is that it's put us in a place where we have no idea what's going to happen, in terms of the future.	745	O segundo é o fato de que não fazemos a menor idéia do que vai acontecer no futuro.
1017	No idea how this may play out.	746	Nenhuma idéia do que nos espera.
1018	I have an interest in education.	747	Eu me interesso por educação.
1019	Actually, what I find is everybody has an interest in education.	748	Na verdade, eu descobri que todo mundo se interessa por educação.
1020	Don't you?	749	Vocês não?
1021	I find this very interesting.	750	Eu acho isso muito interessante.
1022	If you're at a dinner party, and you say you work in education -- 	751	Se você estiver numa festa e disser que trabalha com educação...
1023	Actually, you're not often at dinner parties, frankly.	752	Na verdade, você não vai a muitas festas se trabalha com educação.
1024	If you work in education, you're not asked.	753	Não é convidado.
1025	And you're never asked back, curiously.	754	E curiosamente ninguém te convida de novo.
1026	That's strange to me.	755	Acho isso estranho.
1027	But if you are, and you say to somebody, you know, they say, 'What do you do?'and you say you work in education, you can see the blood run from their face.	756	Mas se você estiver, e contar para alguém...
		757	Quando perguntam 'O que você faz?',e você responde que trabalha com educação, dá pra ver a pessoa ficar pálida na hora.
1028	They're like, 'Oh my God,' you know, 'Why me?'	758	Elas pensam: 'Ai meu Deus!Por que eu?Logo hoje que eu saí de casa.'
1029	'My one night out all week.'		
1030	But if you ask about their education, they pin you to the wall.	759	Mas se você perguntar sobre a educação deles, eles te põem contra a parede.
1031	Because it's one of those things that goes deep with people, am I right?	760	Porque é uma dessas coisas arraigadas nas pessoas, estou certo?Como religião, dinheiro e outras coisas.
1032	Like religion, and money and other things.		
1033	So I have a big interest in education, and I think we all do.	761	Eu tenho um grande interesse em educação, e acho que todos temos.
1034	We have a huge vested interest in it, partly because it's education that's meant to take us into this future that we can't grasp.	762	Nos interessamos tanto por ela em parte porque é da educação o papel de nos conduzir a esse futuro misterioso.
1035	If you think of it, children starting school this year will be retiring in 2065.	763	Se formos pensar, as crianças entrando na escola esse ano estarão se aposentando em 2065.
1036	Nobody has a clue, despite all the expertise that's been on parade for the past four days, what the world will look like in five years' time.	764	Ninguém tem noção, apesar de todo conhecimento que vimos nos últimos quatro dias, de como o mundo vai estar em cinco anos.
1037	And yet we're meant to be educating them for it.	765	E ainda assim devemos educá-los para esse mundo.
1038	So the unpredictability, I think, is extraordinary.	766	A imprevisibilidade, pra mim, é extraordinária.
1039	And the third part of this is that we've all agreed, nonetheless, on the really extraordinary capacities that children have -- their capacities for innovation.	767	A terceira coisa é que nós todos concordamos, apesar de tudo, com a capacidade extraordinária que as crianças têm.
		768	Sua capacidade de inovação.
1040	I mean, Sirena last night was a marvel, wasn't she?	769	Sirena ontem a noite foi uma maravilha, não foi?
1041	Just seeing what she could do.	770	Ver do que ela é capaz.
1042	And she's exceptional, but I think she's not, so to speak, exceptional in the whole of childhood.	771	Ela é excepcional, mas não acho, por assim dizer, que seja uma exceção entre todas as crianças.
1043	What you have there is a person of extraordinary dedication who found a talent.	772	O que vemos ali é uma pessoa de extrema dedicação que achou seu talento.
1044	And my contention is, all kids have tremendous talents.	773	Minha convicção é que todas as crianças têm um talento tremendo.
1045	And we squander them, pretty ruthlessly.	774	E o desperdiçamos, implacavelmente.
1046	So I want to talk about education and I want to talk about creativity.	775	Por isso eu quero falar sobre educação e quero falar sobre criatividade.
1047	My contention is that creativity now is as important in education as literacy, and we should treat it with the same status.	776	Minha convicção é que a criatividade hoje é tão importante na educação como a alfabetização, e deve ser tratada com a mesma importância.
1048	Thank you.	777	Obrigado.
1049	That was it, by the way.	778	Era isso, a propósito.
1050	Thank you very much.	779	Muito obrigado.
1051	So, 15 minutes left.	780	Então...Quinze minutos sobrando.
1052	Well, I was born...no.	781	Eu nasci...Não.
1053	I heard a great story recently -- I love telling it -- of a little girl who was in a drawing lesson.	782	Ouvi uma história excelente há pouco.
		783	Adoro contá-la.
		784	É de uma menininha que estava numa aula de desenho.
1054	She was six, and she was at the back, drawing, and the teacher said this girl hardly ever paid attention, and in this drawing lesson, she did.	785	Ela tinha seis anos e estava lá no fundo, desenhando.
		786	A professora disse que essa menininha quase nunca prestava atenção na aula, e dessa vez ela prestou.
1055	The teacher was fascinated.	787	A professora ficou fascinada, foi até ela e perguntou: 'O que você está desenhando?'
1056	She went over to her, and she said, 'What are you drawing?'		
1057	And the girl said, 'I'm drawing a picture of God.'	788	E a menina respondeu: 'Estou desenhando Deus.'
1058	And the teacher said, 'But nobody knows what God looks like.'	789	E a professora disse: 'Mas ninguém conhece a aparência de Deus.'
1059	And the girl said, 'They will, in a minute.'	790	E a menina disse: 'Vão conhecer num minuto.'
1060	When my son was four in England --	791	Quando meu filho tinha quatro anos na Inglaterra...
1061	Actually, he was four everywhere, to be honest.	792	Na verdade ela tinha quatro anos em qualquer lugar, pra ser sincero.
1062	If we're being strict about it, wherever he went, he was four that year.	793	Para sermos exatos, onde quer que ele fosse, ele tinha quatro anos na ocasião.
1063	He was in the Nativity play.	794	Ele estava numa peça de Natal.
1064	Do you remember the story?	795	Se lembram da história?
1065	No, it was big, it was a big story.	796	Sério, foi importante.
		797	Foi uma grande história.
1066 1067	Mel Gibson did the sequel, you may have seen it. Nativity II.'	798 799	Mel Gibson fez a sequência. Talvez vocês tenham visto: 'Natal 2'.
			
1068	But James got the part of Joseph, which we were thrilled about.	800	Mas o James ganhou o papel de José, o que nos deixou empolgados.
1069	We considered this to be one of the lead parts.	801	A gente considerava ser um dos protagonistas.
1070	We had the place crammed full of agents in T-shirts:	802	Lotamos o teatro com representantes usando camisetas: 'James Robinson É José!'
1071	James Robinson IS Joseph!'		
1072	He didn't have to speak, but you know the bit where the three kings come in?	803	Ele não tinha nenhuma fala, mas vocês conhecem a parte onde chegam os Reis Magos.
1073	They come in bearing gifts, gold, frankincense and myrrh.	804	Eles carregam presentes, e trazem ouro, incenso e mirra.
1074	This really happened.	805	Isso aconteceu de verdade.
1075	We were sitting there and I think they just went out of sequence, because we talked to the little boy afterward and we said, 'You OK with that?'	806	Estávamos lá sentados e eu acho que eles não seguiram a ordem porque nós conversamos com o garotinho depois e perguntamos: 'Tudo certo?'
